parcel_number,address,latitude,longitude,property_class,historic_district,scraped
16051260300000,917 N HUMPHREY AVE,41.90263101,-87.77686245,203,,false
16062250210000,917 N LINDEN AVE,41.90236611,-87.79275436,205,,false
16051230290000,917 N LOMBARD AVE,41.90258472,-87.78054617,202,,false
16061200190000,917 N MARION ST,41.90219761,-87.8043099,206,,false
16051250290000,917 N TAYLOR AVE,41.90261853,-87.7781187,205,,false
16183060220000,917 S GROVE AVE,41.87173375,-87.79557731,203,,false
16183050200000,917 S KENILWORTH AVE,41.87170345,-87.79689904,203,,false
16173020350000,917 S LOMBARD AVE,41.87202324,-87.77959736,204,,false
16173050220000,917 S LYMAN AVE,41.87208217,-87.77706355,203,,false
16183010190000,917 WISCONSIN AVE,41.87167645,-87.80234483,203,,false
16061220090000,918 BELLEFORTE AVE,41.90245969,-87.80223711,205,,false
16183040060000,918 HOME AVE,41.87165681,-87.79894446,203,,false
16051230110000,918 MAPLETON AVE,41.90267658,-87.78124193,203,,false
16062280080000,918 N EAST AVE,41.90251088,-87.78966087,204,,false
16061260080000,918 N GROVE AVE,41.90240288,-87.79606676,205,,false
16051270130000,918 N HUMPHREY AVE,41.9027196,-87.77633353,203,,false
16061250080000,918 N KENILWORTH AVE,41.90241741,-87.79752559,206,,false
16062260080000,918 N LINDEN AVE,41.90250354,-87.7921833,205,,false
16061210080000,918 N MARION ST,41.90226239,-87.8036888,205,,false
16051210130000,918 N RIDGELAND AVE,41.90261714,-87.78384369,203,,false
16051260110000,918 N TAYLOR AVE,41.90274446,-87.77754855,203,,false
16183050060000,918 S CLINTON AVE,41.87167076,-87.79768686,203,,false
16173070090000,918 S HUMPHREY AVE,41.87207472,-87.77530557,206,,false
16183060060000,918 S KENILWORTH AVE,41.87166904,-87.79629989,203,,false
16173060070000,918 S LYMAN AVE,41.87202673,-87.776569,205,,false
16173050100000,918 S TAYLOR AVE,41.87200822,-87.77777282,202,,false
16183020130000,918 WISCONSIN AVE,41.87161188,-87.80174938,205,,false
16061210210000,919 BELLEFORTE AVE,41.90232914,-87.80282381,205,,false
16173010170000,919 HIGHLAND AVE,41.87197931,-87.78199803,203,,false
16062290200000,919 N ELMWOOD AVE,41.90256071,-87.78711312,206,,false
16051210330000,919 N HARVEY AVE,41.90263353,-87.78305328,203,,false
16051260290000,919 N HUMPHREY AVE,41.90271413,-87.77689137,202,,false
16061200180000,919 N MARION ST,41.90232335,-87.80434662,205,,false
16061260200000,919 N OAK PARK AVE,41.90242829,-87.79519441,205,,false
16051250280000,919 N TAYLOR AVE,41.90272934,-87.77812472,203,,false
16183040190000,919 S CLINTON AVE,41.87167278,-87.79822496,206,,false
16173050230000,919 S LYMAN AVE,41.87200481,-87.77706806,203,,false
16183070380000,919 S OAK PARK AVE,41.87127238,-87.79430073,295,,false
16173040170000,919 S TAYLOR AVE,41.87200453,-87.77829663,203,,false
16183020270000,919 WENONAH AVE,41.87161614,-87.80093809,205,,false
16183010200000,919 WISCONSIN AVE,41.87159131,-87.8023145,203,,false
16061220080000,920 BELLEFORTE AVE,41.90255455,-87.80224661,205,,false
16062290080000,920 FAIR OAKS AVE,41.90259241,-87.7880365,206,,false
16061230070000,920 FOREST AVE,41.90245744,-87.80064597,206,,false
16183040070000,920 HOME AVE,41.87156803,-87.79896071,205,,false
16062250080000,920 N EUCLID AVE,41.9024701,-87.79334846,203,,false
